2026-03-11 15:08:19 |WARN  |not.a.Spring.bean-2061 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:21 |WARN  |not.a.Spring.bean-2062 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:23 |WARN  |not.a.Spring.bean-2063 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:26 |WARN  |not.a.Spring.bean-2064 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:28 |WARN  |not.a.Spring.bean-2065 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:30 |WARN  |not.a.Spring.bean-2066 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:32 |WARN  |not.a.Spring.bean-2067 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:34 |WARN  |not.a.Spring.bean-2068 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:36 |WARN  |not.a.Spring.bean-2069 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:08:39 |WARN  |not.a.Spring.bean-2070 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
