2026-03-02 13:59:29 |WARN  |not.a.Spring.bean-222 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:31 |WARN  |not.a.Spring.bean-223 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:34 |WARN  |not.a.Spring.bean-224 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:36 |WARN  |not.a.Spring.bean-225 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:38 |WARN  |not.a.Spring.bean-226 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:40 |WARN  |not.a.Spring.bean-227 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:43 |WARN  |not.a.Spring.bean-228 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:45 |WARN  |not.a.Spring.bean-229 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:47 |WARN  |not.a.Spring.bean-230 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:49 |WARN  |not.a.Spring.bean-231 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:52 |WARN  |not.a.Spring.bean-232 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:54 |WARN  |not.a.Spring.bean-233 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:56 |WARN  |not.a.Spring.bean-234 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 13:59:58 |WARN  |not.a.Spring.bean-235 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:00 |WARN  |not.a.Spring.bean-236 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:03 |WARN  |not.a.Spring.bean-237 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:05 |WARN  |not.a.Spring.bean-238 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:07 |WARN  |not.a.Spring.bean-239 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:09 |WARN  |not.a.Spring.bean-240 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:11 |WARN  |not.a.Spring.bean-241 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:14 |WARN  |not.a.Spring.bean-242 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:16 |WARN  |not.a.Spring.bean-243 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:18 |WARN  |not.a.Spring.bean-244 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:20 |WARN  |not.a.Spring.bean-245 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:22 |WARN  |not.a.Spring.bean-246 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:25 |WARN  |not.a.Spring.bean-247 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:27 |WARN  |not.a.Spring.bean-248 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:29 |WARN  |not.a.Spring.bean-249 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:31 |WARN  |not.a.Spring.bean-250 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:33 |WARN  |not.a.Spring.bean-251 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:35 |WARN  |not.a.Spring.bean-252 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:37 |WARN  |not.a.Spring.bean-253 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:40 |WARN  |not.a.Spring.bean-254 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:42 |WARN  |not.a.Spring.bean-255 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:44 |WARN  |not.a.Spring.bean-256 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:46 |WARN  |not.a.Spring.bean-257 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:48 |WARN  |not.a.Spring.bean-258 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:50 |WARN  |not.a.Spring.bean-259 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:53 |WARN  |not.a.Spring.bean-260 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:55 |WARN  |not.a.Spring.bean-261 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:57 |WARN  |not.a.Spring.bean-262 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:00:59 |WARN  |not.a.Spring.bean-263 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:01 |WARN  |not.a.Spring.bean-264 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:03 |WARN  |not.a.Spring.bean-265 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:06 |WARN  |not.a.Spring.bean-266 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:08 |WARN  |not.a.Spring.bean-267 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:10 |WARN  |not.a.Spring.bean-268 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:12 |WARN  |not.a.Spring.bean-269 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:14 |WARN  |not.a.Spring.bean-270 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:16 |WARN  |not.a.Spring.bean-271 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:19 |WARN  |not.a.Spring.bean-272 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:21 |WARN  |not.a.Spring.bean-273 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:24 |WARN  |not.a.Spring.bean-274 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:26 |WARN  |not.a.Spring.bean-275 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:28 |WARN  |not.a.Spring.bean-276 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:30 |WARN  |not.a.Spring.bean-277 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:32 |WARN  |not.a.Spring.bean-278 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:35 |WARN  |not.a.Spring.bean-279 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:37 |WARN  |not.a.Spring.bean-280 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:39 |WARN  |not.a.Spring.bean-281 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:41 |WARN  |not.a.Spring.bean-282 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:43 |WARN  |not.a.Spring.bean-283 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:45 |WARN  |not.a.Spring.bean-284 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:48 |WARN  |not.a.Spring.bean-285 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:50 |WARN  |not.a.Spring.bean-286 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:52 |WARN  |not.a.Spring.bean-287 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:54 |WARN  |not.a.Spring.bean-288 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:56 |WARN  |not.a.Spring.bean-289 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:01:59 |WARN  |not.a.Spring.bean-290 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:01 |WARN  |not.a.Spring.bean-291 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:03 |WARN  |not.a.Spring.bean-292 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:05 |WARN  |not.a.Spring.bean-293 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:08 |WARN  |not.a.Spring.bean-294 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:10 |WARN  |not.a.Spring.bean-295 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:12 |WARN  |not.a.Spring.bean-296 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:14 |WARN  |not.a.Spring.bean-297 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:17 |WARN  |not.a.Spring.bean-298 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:19 |WARN  |not.a.Spring.bean-299 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:21 |WARN  |not.a.Spring.bean-300 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:23 |WARN  |not.a.Spring.bean-301 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-02 14:02:25 |WARN  |not.a.Spring.bean-302 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
